model,Age,price,transmission,mileage,fuelType,tax,mpg,engineSize
 7 Series,2,52490,Semi-Auto,3200,Diesel,145,44.1,3
 8 Series,2,59790,Semi-Auto,1600,Petrol,145,33.2,3
 X1,6,17291,Semi-Auto,29135,Diesel,125,57.6,2
 3 Series,6,12567,Automatic,24619,Diesel,20,74.3,2
 3 Series,4,15460,Semi-Auto,24628,Petrol,145,47.9,2
 1 Series,5,18951,Semi-Auto,38478,Petrol,200,39.8,3
 5 Series,7,10270,Automatic,71302,Diesel,30,62.8,2
 3 Series,6,9802,Manual,61887,Diesel,30,62.8,2
 2 Series,3,16347,Manual,11141,Petrol,145,42.2,1.5
 3 Series,5,17498,Semi-Auto,28897,Diesel,145,54.3,3
 X5,5,27980,Automatic,31664,Diesel,160,50.4,2
 X4,4,26491,Semi-Auto,30485,Diesel,150,47.9,3
 4 Series,5,17340,Semi-Auto,33011,Diesel,30,65.7,2
 3 Series,2,35230,Semi-Auto,4602,Hybrid,135,8.8,2
 X6,3,37980,Semi-Auto,11188,Diesel,150,40.9,3
 X3,2,41980,Semi-Auto,6501,Diesel,150,36.7,3
 3 Series,2,29980,Semi-Auto,8127,Diesel,145,48.7,2
 5 Series,2,30980,Automatic,3718,Diesel,145,62.8,2
 X5,2,49980,Automatic,3951,Diesel,145,37.7,3
 X1,2,25480,Semi-Auto,5163,Petrol,145,39.2,2
 X2,2,28980,Automatic,1325,Petrol,145,39.2,2
 5 Series,2,30980,Semi-Auto,2420,Hybrid,135,156.9,2
 5 Series,2,30980,Semi-Auto,2215,Hybrid,135,156.9,2
 4 Series,5,19480,Semi-Auto,52783,Petrol,235,38.2,3
 X1,5,17980,Semi-Auto,28322,Diesel,125,57.6,2
 1 Series,5,14990,Manual,10937,Diesel,30,65.7,2
 X1,4,20991,Semi-Auto,25839,Petrol,160,44.8,2
 1 Series,5,19290,Semi-Auto,21132,Petrol,235,37.7,3
 2 Series,5,15690,Semi-Auto,18586,Petrol,125,51.4,1.5
 X3,2,32660,Semi-Auto,6962,Diesel,145,48.7,3
 M4,6,29997,Semi-Auto,20100,Petrol,300,34,3
 1 Series,2,20980,Manual,4630,Petrol,145,44.1,1.5
 2 Series,2,21980,Automatic,6258,Hybrid,135,148.7,1.5
 1 Series,2,17980,Semi-Auto,10672,Diesel,145,74.3,2
 X3,6,19980,Semi-Auto,37790,Diesel,150,54.3,2
 7 Series,2,47980,Semi-Auto,12038,Diesel,150,44.1,3
 X3,2,32980,Semi-Auto,1961,Diesel,150,54.3,2
 5 Series,2,31480,Semi-Auto,4659,Diesel,150,60.1,3
 X1,8,12680,Manual,32543,Petrol,200,40.9,2
 1 Series,5,16480,Semi-Auto,20308,Petrol,145,47.9,1.6
 X1,2,27980,Semi-Auto,5845,Diesel,145,50.4,2
 3 Series,2,29480,Manual,2802,Diesel,145,54.3,2
 5 Series,4,24480,Semi-Auto,26971,Diesel,145,62.8,2
 2 Series,1,20980,Manual,10,Petrol,145,52.3,1.5
 1 Series,5,14480,Semi-Auto,37529,Diesel,20,68.9,1.5
 X4,2,36980,Semi-Auto,2740,Diesel,145,42.8,2
 5 Series,2,31490,Semi-Auto,2019,Petrol,150,48.7,2
 3 Series,2,27480,Semi-Auto,9155,Petrol,145,41.5,2
 X1,2,26490,Semi-Auto,9113,Diesel,145,50.4,2
 3 Series,1,31980,Semi-Auto,10,Diesel,145,50.4,2
 X5,2,56980,Semi-Auto,11449,Diesel,145,33.6,3
 M2,2,45980,Semi-Auto,1287,Petrol,145,29.1,3
 X2,2,31980,Semi-Auto,1151,Diesel,145,50.4,2
 6 Series,2,33980,Semi-Auto,10813,Diesel,145,53.3,3
 3 Series,2,27480,Semi-Auto,6113,Petrol,145,42.2,2
 X3,2,36490,Automatic,5277,Diesel,145,48.7,3
 X5,2,47980,Automatic,8548,Diesel,145,37.7,3
 1 Series,2,19480,Automatic,6993,Diesel,145,67.3,2
 X5,2,46980,Automatic,5073,Diesel,145,37.7,3
 4 Series,2,23480,Automatic,5738,Diesel,145,65.7,2
 X5,2,46980,Semi-Auto,8371,Diesel,145,37.7,3
 1 Series,2,20990,Automatic,7990,Diesel,145,65.7,2
 4 Series,2,25990,Automatic,6519,Diesel,145,58.9,2
 3 Series,5,14250,Manual,27779,Diesel,30,64.2,2
 3 Series,5,17647,Automatic,20793,Diesel,145,56.5,3
 3 Series,6,18907,Automatic,27649,Petrol,260,36.7,3
 X1,3,21947,Automatic,7283,Petrol,145,39.2,2
 Z4,1,32490,Semi-Auto,10,Petrol,145,37.2,2
 X2,1,24990,Semi-Auto,10,Diesel,145,47.9,2
 2 Series,1,20980,Semi-Auto,10,Petrol,145,50.4,1.5
 2 Series,1,20980,Semi-Auto,10,Petrol,145,50.4,1.5
 1 Series,3,17980,Manual,8067,Petrol,145,52.3,1.5
 1 Series,4,15490,Semi-Auto,28646,Diesel,145,68.9,2
 5 Series,4,25980,Semi-Auto,15856,Petrol,200,39.2,3
 X1,4,20980,Semi-Auto,21330,Petrol,160,44.8,2
 4 Series,6,17980,Semi-Auto,35255,Petrol,160,44.1,2
 1 Series,4,18480,Manual,39201,Petrol,150,36.2,3
 X1,2,26480,Semi-Auto,3737,Petrol,150,48.7,2
 4 Series,2,23480,Semi-Auto,7107,Petrol,150,48.7,2
 X1,4,20980,Semi-Auto,31630,Diesel,150,55.4,2
 X6,6,26980,Semi-Auto,51447,Diesel,205,47.1,3
 4 Series,3,24990,Semi-Auto,16790,Diesel,150,60.1,2
 3 Series,4,16690,Manual,14348,Petrol,150,48.7,2
 1 Series,8,8990,Manual,37233,Petrol,150,49.6,1.6
 4 Series,3,18797,Manual,9788,Diesel,145,62.8,2
 4 Series,3,18997,Manual,8269,Diesel,145,62.8,2
 4 Series,7,11870,Semi-Auto,77209,Diesel,125,60.1,2
 5 Series,7,14090,Semi-Auto,62890,Diesel,160,51.4,3
 1 Series,5,9891,Manual,49811,Diesel,0,83.1,1.5
 6 Series,1,37980,Semi-Auto,11,Diesel,145,53.3,3
 3 Series,2,27490,Semi-Auto,13994,Petrol,145,42.2,2
 3 Series,6,15980,Semi-Auto,30569,Diesel,30,62.8,2
 X1,2,27980,Semi-Auto,3782,Petrol,145,48.7,2
 X1,5,18187,Automatic,21225,Diesel,125,57.6,2
 X6,2,58480,Semi-Auto,2018,Petrol,145,26.4,3
 X5,7,23980,Automatic,51252,Diesel,200,45.6,3
 6 Series,1,34490,Semi-Auto,5,Petrol,145,42.8,2
 3 Series,5,13980,Semi-Auto,40146,Petrol,145,47.9,2
 1 Series,2,20980,Manual,3483,Petrol,145,44.1,1.5
 3 Series,2,26980,Semi-Auto,5966,Diesel,145,52.3,2
 3 Series,2,24480,Semi-Auto,5776,Diesel,145,55.4,2
 X2,2,28490,Semi-Auto,4161,Diesel,145,58.9,2
 X1,2,26480,Semi-Auto,2372,Petrol,150,48.7,2
 X2,2,27980,Semi-Auto,3690,Petrol,150,39.2,2
 X1,5,16150,Semi-Auto,36956,Diesel,30,65.7,2
 1 Series,3,16991,Manual,27500,Diesel,150,62.8,2
 X1,5,14991,Manual,21242,Diesel,20,68.9,2
 X1,4,22491,Semi-Auto,16578,Diesel,150,57.6,2
 5 Series,4,24171,Semi-Auto,10131,Diesel,125,60.1,2
 3 Series,4,16891,Manual,17907,Petrol,150,43.5,2
 2 Series,1,20980,Semi-Auto,9,Petrol,150,50.4,1.5
 3 Series,1,32450,Semi-Auto,104,Petrol,150,40.4,2
 1 Series,2,32990,Semi-Auto,3883,Petrol,145,34.5,2
 5 Series,2,34990,Semi-Auto,3425,Diesel,145,60.1,2
 3 Series,5,14920,Automatic,59695,Diesel,145,56.5,3
 3 Series,5,13207,Automatic,32672,Petrol,125,51.4,1.5
 3 Series,4,17710,Automatic,45646,Diesel,145,56.5,3
 X1,3,23310,Automatic,12857,Diesel,145,60.1,2
 5 Series,3,25450,Automatic,19486,Hybrid,135,156.9,2
 4 Series,6,16514,Semi-Auto,33802,Diesel,30,65.7,2
 1 Series,5,13553,Manual,17787,Petrol,125,52.3,1.5
 X4,2,37980,Semi-Auto,1852,Diesel,145,40.4,3
 5 Series,1,34840,Semi-Auto,105,Hybrid,145,44.8,2
 X4,2,35480,Semi-Auto,7414,Diesel,145,42.8,2
 5 Series,6,18995,Semi-Auto,15804,Diesel,160,50.4,3
 X1,5,17195,Manual,18960,Diesel,125,60.1,2
 3 Series,4,15995,Automatic,24624,Petrol,145,51.4,2
 3 Series,6,16350,Semi-Auto,21000,Petrol,160,43.5,2
 2 Series,4,15950,Semi-Auto,29000,Diesel,125,57.6,2
 3 Series,4,15995,Semi-Auto,34700,Diesel,150,64.2,2
 4 Series,5,17029,Automatic,35444,Diesel,30,65.7,2
 4 Series,3,18280,Manual,17024,Petrol,145,46.3,2
 3 Series,5,18080,Automatic,22186,Petrol,200,43.5,2
 1 Series,4,18690,Automatic,26140,Diesel,145,61.4,2
 X4,2,40990,Semi-Auto,10,Diesel,145,40.9,3
 X3,2,34990,Automatic,10,Diesel,145,54.3,2
 X3,2,37990,Semi-Auto,3934,Diesel,145,54.3,2
 3 Series,2,39980,Semi-Auto,3007,Petrol,150,34.9,3
 3 Series,4,14990,Manual,18452,Diesel,30,67.3,2
 2 Series,4,13990,Semi-Auto,18847,Petrol,150,55.4,1.5
 X3,1,42990,Semi-Auto,6235,Diesel,150,36.7,3
 1 Series,1,28990,Semi-Auto,1129,Diesel,150,51.4,2
 5 Series,2,26990,Semi-Auto,13929,Diesel,150,65.7,2
 X5,2,51990,Semi-Auto,102,Diesel,150,37.7,3
 X5,2,54995,Semi-Auto,102,Diesel,150,37.7,3
 2 Series,1,23990,Semi-Auto,105,Diesel,145,47.1,2
 Z4,1,29990,Semi-Auto,11,Petrol,145,38.7,2
 3 Series,1,28990,Semi-Auto,14,Diesel,145,50.4,2
 5 Series,1,27980,Semi-Auto,105,Hybrid,145,52.3,2
 5 Series,1,28990,Semi-Auto,103,Petrol,145,50.4,2
 3 Series,3,18500,Semi-Auto,30749,Diesel,145,60.1,2
 1 Series,3,14724,Manual,24676,Diesel,145,62.8,2
 i3,5,16482,Automatic,43695,Hybrid,0,470.8,0
 2 Series,7,17998,Semi-Auto,17787,Petrol,260,37.2,3
 3 Series,2,29998,Semi-Auto,8421,Diesel,150,52.3,2
 4 Series,2,24490,Automatic,4469,Petrol,145,48.7,2
 2 Series,2,19490,Manual,5512,Petrol,145,42.8,1.5
 2 Series,2,18480,Manual,10250,Petrol,145,42.2,1.5
 4 Series,3,21980,Semi-Auto,10030,Diesel,145,65.7,2
 2 Series,1,20980,Semi-Auto,13,Petrol,145,50.4,1.5
 M4,2,49980,Semi-Auto,934,Petrol,150,34,3
 1 Series,5,18990,Semi-Auto,11538,Petrol,200,39.8,3
 3 Series,2,24990,Manual,3271,Diesel,145,64.2,2
 X5,2,49990,Semi-Auto,102,Diesel,150,37.7,3
 2 Series,6,15980,Semi-Auto,38403,Diesel,125,58.9,2
 3 Series,1,24990,Manual,101,Diesel,150,56.5,2
 5 Series,1,33850,Semi-Auto,103,Hybrid,150,44.8,2
 3 Series,6,15990,Semi-Auto,46486,Petrol,150,48.7,2
 X2,1,34990,Semi-Auto,103,Petrol,150,34,2
 Z4,1,34990,Semi-Auto,101,Petrol,150,37.2,2
 4 Series,5,15990,Semi-Auto,39024,Diesel,30,65.7,2
 4 Series,3,21850,Semi-Auto,29101,Diesel,145,65.7,2
 1 Series,2,21990,Manual,1834,Diesel,145,56.5,2
 2 Series,4,17450,Manual,22661,Diesel,150,62.8,1.5
 X3,2,35990,Semi-Auto,21767,Petrol,150,34.5,3
 1 Series,1,23990,Manual,3399,Diesel,150,53.3,2
 5 Series,1,27990,Semi-Auto,105,Hybrid,145,49.6,2
 3 Series,1,23990,Manual,105,Diesel,145,56.5,2
 4 Series,1,24490,Semi-Auto,105,Diesel,145,65.7,2
 5 Series,1,28990,Semi-Auto,103,Hybrid,145,62.8,2
 3 Series,2,28750,Semi-Auto,3858,Diesel,145,52.3,2
 5 Series,7,12995,Semi-Auto,38094,Diesel,30,62.8,2
 X1,5,14990,Manual,31915,Diesel,20,68.9,2
 4 Series,6,15780,Manual,33636,Diesel,145,55.4,2
 5 Series,1,26990,Semi-Auto,104,Petrol,145,50.4,2
 5 Series,2,26790,Semi-Auto,9535,Diesel,145,65.7,2
 4 Series,6,16980,Semi-Auto,27142,Diesel,30,65.7,2
 1 Series,5,12990,Manual,37179,Diesel,30,65.7,2
 X2,1,25990,Semi-Auto,101,Petrol,145,40.4,2
 3 Series,1,31490,Semi-Auto,105,Diesel,145,51.4,2
 M4,1,47950,Semi-Auto,105,Petrol,145,32.5,3
 1 Series,2,23780,Semi-Auto,5831,Petrol,145,40.4,1.5
 3 Series,1,22990,Manual,101,Diesel,145,58.9,2
 Z4,1,30990,Semi-Auto,105,Petrol,145,38.7,2
 X2,1,26450,Semi-Auto,2095,Petrol,145,40.4,2
 4 Series,2,23995,Semi-Auto,2129,Petrol,145,45.6,2
 M4,2,42485,Semi-Auto,5486,Petrol,145,34,3
 6 Series,5,26580,Semi-Auto,15668,Petrol,260,35.8,3
 X5,2,50990,Semi-Auto,4729,Diesel,145,37.7,3
 4 Series,3,22440,Semi-Auto,18501,Petrol,145,48.7,2
 3 Series,2,23980,Semi-Auto,6251,Diesel,145,62.8,2
 4 Series,2,23750,Semi-Auto,2791,Petrol,145,45.6,2
 2 Series,1,23990,Semi-Auto,1743,Petrol,150,50.4,1.5
 X2,1,23990,Semi-Auto,1576,Petrol,150,38.7,2
 3 Series,2,27450,Manual,2039,Diesel,145,54.3,2
 3 Series,2,28990,Manual,104,Diesel,145,54.3,2
 X1,2,27490,Manual,105,Diesel,145,40.4,2
 Z4,1,30990,Semi-Auto,101,Petrol,145,38.7,2
 X4,1,45990,Semi-Auto,7724,Diesel,145,37.2,3
 3 Series,1,37990,Semi-Auto,5875,Diesel,145,45.6,3
 X6,1,55890,Semi-Auto,3340,Diesel,145,34.9,3
 4 Series,2,24990,Semi-Auto,102,Diesel,145,65.7,2
 2 Series,2,20950,Semi-Auto,11757,Petrol,145,47.9,2
 1 Series,2,15990,Manual,10069,Diesel,145,72.4,1.5
 X2,3,23450,Semi-Auto,11594,Diesel,145,58.9,2
 5 Series,4,22990,Semi-Auto,15985,Diesel,150,65.7,2
 1 Series,4,21980,Semi-Auto,16718,Petrol,150,39.8,3
 X3,1,37990,Semi-Auto,6992,Diesel,150,54.3,2
 X6,4,32990,Semi-Auto,19311,Diesel,150,47.1,3
 M2,1,44995,Semi-Auto,101,Petrol,150,29.1,3
 3 Series,2,24950,Automatic,1241,Diesel,145,62.8,2
 X5,2,44875,Automatic,11918,Diesel,145,37.7,3
 3 Series,2,28950,Semi-Auto,4416,Diesel,145,52.3,2
 3 Series,2,24990,Manual,4697,Diesel,145,64.2,2
 X3,3,29980,Semi-Auto,5458,Diesel,145,56.5,2
 M4,2,48940,Semi-Auto,13,Petrol,145,32.5,3
 8 Series,1,59990,Semi-Auto,5490,Petrol,145,31.7,3
 Z4,1,33850,Semi-Auto,103,Petrol,145,37.2,2
 X2,1,24850,Semi-Auto,101,Diesel,145,52.3,2
 5 Series,1,26990,Semi-Auto,102,Petrol,145,52.3,2
 5 Series,1,29990,Semi-Auto,103,Hybrid,145,60.1,2
 3 Series,2,24640,Semi-Auto,5627,Petrol,145,47.9,2
 5 Series,2,26350,Semi-Auto,8351,Diesel,145,65.7,2
 5 Series,2,26350,Semi-Auto,6360,Diesel,145,65.7,2
 5 Series,2,26350,Semi-Auto,12241,Diesel,145,65.7,2
 4 Series,2,24975,Semi-Auto,7670,Diesel,145,65.7,2
 X2,2,24890,Semi-Auto,3616,Diesel,145,61.4,2
 X3,5,24950,Semi-Auto,30205,Diesel,200,47.1,3
 5 Series,1,38990,Semi-Auto,105,Diesel,145,53.3,3
 X2,2,23975,Semi-Auto,9872,Diesel,145,61.4,2
 X6,3,37790,Semi-Auto,16334,Diesel,145,40.9,3
 2 Series,1,22990,Semi-Auto,13,Petrol,145,47.9,2
 4 Series,1,25980,Semi-Auto,101,Diesel,145,65.7,2
 X1,2,28790,Semi-Auto,5628,Petrol,145,44.8,2
 3 Series,2,23980,Semi-Auto,1989,Petrol,145,47.9,2
 5 Series,2,26340,Semi-Auto,5441,Diesel,145,65.7,2
 3 Series,2,28450,Semi-Auto,8114,Diesel,145,48.7,2
 5 Series,2,26350,Semi-Auto,7460,Diesel,145,65.7,2
 X1,2,28790,Semi-Auto,5559,Petrol,145,44.8,2
 5 Series,4,19990,Semi-Auto,36779,Diesel,145,62.8,2
 3 Series,4,23990,Semi-Auto,18224,Diesel,145,53.3,3
 X2,2,24775,Semi-Auto,103,Petrol,145,39.2,2
 3 Series,2,31450,Semi-Auto,2804,Diesel,145,52.3,2
 3 Series,2,32990,Semi-Auto,4327,Diesel,145,49.6,2
 5 Series,1,33990,Semi-Auto,3704,Hybrid,145,49.6,2
 3 Series,1,42990,Semi-Auto,3698,Diesel,145,43.5,3
 4 Series,3,21980,Semi-Auto,17503,Petrol,145,48.7,2
 X1,2,26950,Semi-Auto,4269,Diesel,145,60.1,2
 2 Series,2,23490,Semi-Auto,19,Diesel,145,49.6,2
 5 Series,2,31450,Automatic,13,Petrol,145,48.7,2
 5 Series,2,33950,Automatic,12,Diesel,145,53.3,3
 M4,2,41945,Semi-Auto,102,Petrol,145,34,3
 X5,1,52990,Semi-Auto,5899,Diesel,145,37.7,3
 X1,5,17990,Semi-Auto,26656,Diesel,125,57.6,2
 X5,8,17990,Automatic,53102,Diesel,300,38.2,3
 3 Series,2,31450,Semi-Auto,3965,Petrol,145,40.9,2
 X3,8,12220,Semi-Auto,73312,Diesel,160,50.4,2
 3 Series,3,18998,Semi-Auto,35722,Diesel,150,62.8,2
 1 Series,2,15498,Manual,9391,Petrol,145,38.7,1.5
 1 Series,3,16998,Manual,11784,Diesel,145,49.6,2
 1 Series,2,17498,Manual,11211,Diesel,150,70.6,1.5
 3 Series,2,20147,Automatic,4393,Petrol,145,48.7,2
 5 Series,6,12950,Semi-Auto,54386,Diesel,30,62.8,2
 3 Series,6,15995,Automatic,33003,Diesel,145,56.5,3
 4 Series,4,19300,Semi-Auto,22945,Petrol,145,48.7,2
 4 Series,2,26980,Automatic,17,Diesel,145,55.4,3
 X6,5,29980,Automatic,38494,Diesel,200,47.1,3
 X3,2,30780,Automatic,4464,Diesel,145,54.3,2
 3 Series,2,38980,Semi-Auto,4025,Diesel,150,43.5,3
 Z4,6,17990,Manual,18089,Petrol,205,41.5,2
 2 Series,2,24480,Semi-Auto,8950,Diesel,145,57.7,2
 4 Series,3,24980,Semi-Auto,32785,Petrol,145,41.5,3
 X1,2,27890,Semi-Auto,4884,Petrol,145,44.8,2
 X1,2,27890,Semi-Auto,5490,Petrol,145,44.8,2
 X5,2,56980,Semi-Auto,9192,Diesel,145,33.6,3
 1 Series,7,13990,Semi-Auto,20402,Diesel,30,64.2,2
 X5,4,32990,Automatic,31500,Diesel,145,47.1,3
 6 Series,1,34490,Semi-Auto,6,Petrol,145,42.8,2
 3 Series,2,26980,Semi-Auto,10405,Diesel,150,52.3,2
 8 Series,1,56990,Semi-Auto,3242,Petrol,150,33.6,3
 X3,2,40990,Semi-Auto,9330,Diesel,150,36.7,3
 X4,2,36980,Semi-Auto,2294,Diesel,150,40.9,3
 4 Series,2,30980,Semi-Auto,8215,Diesel,150,50.4,3
 4 Series,2,30490,Semi-Auto,4984,Diesel,150,49.6,3
 4 Series,2,23490,Semi-Auto,7041,Diesel,150,60.1,2
 X3,2,34980,Semi-Auto,5253,Diesel,150,54.3,2
 X2,2,28780,Semi-Auto,5321,Diesel,150,50.4,2
 1 Series,3,23990,Semi-Auto,4664,Petrol,150,39.8,3
 X4,2,36490,Semi-Auto,8432,Diesel,150,42.8,2
 1 Series,2,19980,Manual,15,Diesel,145,72.4,1.5
 1 Series,2,20980,Manual,15,Diesel,145,68.9,2
 2 Series,2,24490,Semi-Auto,9531,Diesel,150,64.2,2
 4 Series,2,24490,Semi-Auto,4954,Diesel,150,65.7,2
 4 Series,2,28980,Semi-Auto,3169,Diesel,150,53.3,3
 3 Series,2,31990,Semi-Auto,6313,Petrol,150,41.5,2
 4 Series,2,25590,Semi-Auto,8268,Diesel,150,60.1,2
 X1,2,25990,Semi-Auto,7164,Diesel,150,60.1,2
 X1,2,26480,Semi-Auto,9385,Petrol,145,48.7,2
 X1,2,26490,Semi-Auto,8785,Diesel,145,50.4,2
 X5,2,48990,Semi-Auto,6046,Petrol,145,27.2,3
 M4,2,41490,Automatic,123,Petrol,145,34,3
 2 Series,2,22980,Automatic,15,Petrol,145,53.3,1.5
 4 Series,2,24980,Semi-Auto,1652,Diesel,145,65.7,2
 M4,6,29990,Semi-Auto,26637,Petrol,300,34,3
 5 Series,2,32980,Automatic,9509,Diesel,145,53.3,3
 3 Series,2,37890,Semi-Auto,4713,Petrol,145,34.9,3
 X2,1,26980,Semi-Auto,2501,Petrol,150,38.7,2
 X3,2,34980,Semi-Auto,5014,Diesel,150,54.3,2
 1 Series,2,24480,Semi-Auto,8026,Diesel,145,53.3,2
 5 Series,5,15990,Semi-Auto,31200,Diesel,20,68.9,2
 X1,2,27990,Semi-Auto,4292,Petrol,145,48.7,2
 5 Series,6,15990,Semi-Auto,29952,Diesel,30,62.8,2
 X3,2,33980,Semi-Auto,5427,Diesel,145,54.3,2
 X2,1,25980,Semi-Auto,23,Diesel,145,61.4,2
 Z4,1,29490,Semi-Auto,13,Petrol,145,38.7,2
 1 Series,7,12490,Semi-Auto,9024,Petrol,125,50.4,1.6
 X1,5,20490,Automatic,30715,Diesel,125,57.6,2
 X5,2,45980,Semi-Auto,9617,Diesel,145,37.7,3
 5 Series,3,23290,Semi-Auto,26715,Diesel,150,68.9,2
 1 Series,4,21980,Semi-Auto,24965,Petrol,150,39.8,3
 4 Series,2,23480,Semi-Auto,18980,Diesel,150,58.9,2
 3 Series,4,23990,Semi-Auto,40010,Diesel,150,49.6,3
 X3,2,40980,Semi-Auto,3082,Diesel,150,36.7,3
 1 Series,2,29490,Semi-Auto,3069,Petrol,150,34.5,2
 1 Series,5,16490,Semi-Auto,27402,Petrol,150,47.9,2
 3 Series,2,38480,Automatic,4816,Diesel,145,43.5,3
 8 Series,2,58990,Automatic,3948,Petrol,145,33.2,3
 X2,2,26980,Semi-Auto,4484,Petrol,145,39.2,2
 X2,2,28990,Semi-Auto,2714,Petrol,145,39.2,2
 3 Series,2,31980,Automatic,123,Petrol,145,41.5,2
 2 Series,2,30480,Automatic,123,Petrol,145,38.2,3
 4 Series,5,23480,Automatic,27214,Petrol,200,41.5,3
 1 Series,2,18940,Semi-Auto,7632,Diesel,145,68.9,1.5
 4 Series,2,23490,Semi-Auto,6567,Petrol,145,48.7,2
 3 Series,2,25480,Semi-Auto,9309,Diesel,145,57.7,2
 3 Series,4,15490,Manual,22723,Petrol,150,48.7,2
 1 Series,2,18980,Manual,8328,Diesel,145,65.7,2
 1 Series,2,27480,Semi-Auto,1178,Diesel,145,51.4,2
 3 Series,2,25900,Semi-Auto,8010,Petrol,145,45.6,2
 X1,2,27780,Semi-Auto,5490,Petrol,145,38.7,2
 2 Series,2,22990,Automatic,8452,Diesel,145,61.4,2
 2 Series,2,20490,Semi-Auto,8171,Diesel,145,51.4,2
 2 Series,2,20690,Semi-Auto,8841,Diesel,145,51.4,2
 2 Series,2,20490,Semi-Auto,3578,Diesel,145,51.4,2
 3 Series,2,24990,Semi-Auto,4990,Diesel,145,62.8,2
 2 Series,2,19780,Semi-Auto,12320,Petrol,145,40.9,1.5
 2 Series,2,19990,Semi-Auto,7891,Diesel,145,65.7,2
 2 Series,2,23490,Automatic,7561,Petrol,145,47.9,2
 X1,2,29980,Automatic,11919,Diesel,145,60.1,2
 1 Series,2,18480,Manual,10302,Diesel,145,70.6,1.5
 1 Series,2,20980,Manual,6215,Petrol,145,44.1,1.5
 2 Series,1,20980,Semi-Auto,11,Petrol,145,50.4,1.5
 1 Series,2,19980,Semi-Auto,12166,Diesel,145,67.3,2
 3 Series,4,18490,Semi-Auto,32500,Diesel,150,64.2,2
 3 Series,5,18490,Semi-Auto,15634,Diesel,125,57.6,2
 2 Series,3,18480,Manual,3580,Petrol,145,52.3,1.5
 5 Series,2,30980,Semi-Auto,4003,Diesel,145,55.4,2
 4 Series,5,18990,Automatic,17944,Diesel,30,65.7,2
 4 Series,3,18990,Automatic,28970,Petrol,145,45.6,2
 5 Series,4,22998,Automatic,14459,Diesel,145,65.7,2
 1 Series,2,15980,Manual,4968,Petrol,145,53.3,1.5
 3 Series,2,26980,Semi-Auto,6506,Diesel,145,52.3,2
 X5,2,72990,Semi-Auto,4799,Hybrid,140,188.3,3
 X5,7,26990,Automatic,37563,Diesel,205,47.1,3
 6 Series,6,20490,Semi-Auto,46659,Diesel,160,49.6,3
 5 Series,4,24470,Semi-Auto,15335,Diesel,145,65.7,2
 X3,2,30190,Semi-Auto,20792,Petrol,145,30.4,2
 2 Series,5,20701,Semi-Auto,27749,Petrol,200,39.8,3
 3 Series,3,19998,Semi-Auto,59348,Diesel,150,57.6,2
 1 Series,4,20998,Semi-Auto,15010,Petrol,145,39.8,3
 1 Series,4,19845,Semi-Auto,20000,Petrol,205,39.8,3
 X1,5,19499,Automatic,12389,Diesel,125,57.6,2
 X2,2,31800,Semi-Auto,2188,Petrol,150,34.9,2
 X1,4,23680,Semi-Auto,6147,Diesel,145,60.1,2
 5 Series,2,26800,Semi-Auto,3979,Diesel,145,65.7,2
 X1,2,25990,Semi-Auto,4357,Diesel,145,60.1,2
 8 Series,2,58940,Semi-Auto,1135,Diesel,145,40.4,3
 1 Series,5,11985,Manual,22054,Diesel,20,72.4,1.5
 X5,5,27785,Automatic,49092,Diesel,200,47.1,3
 5 Series,5,20390,Semi-Auto,11454,Diesel,160,51.4,3
 4 Series,3,21415,Semi-Auto,14299,Petrol,145,48.7,2
 1 Series,5,14270,Manual,40358,Diesel,30,65.7,2
 X3,2,31190,Semi-Auto,14594,Petrol,145,30.4,2
 X1,2,26690,Semi-Auto,8140,Petrol,145,35.3,2
 3 Series,2,37980,Semi-Auto,2459,Petrol,145,34.9,3
 3 Series,2,26480,Manual,2236,Diesel,145,54.3,2
 2 Series,2,20980,Semi-Auto,6235,Petrol,145,50.4,1.5
 7 Series,2,52700,Semi-Auto,706,Diesel,145,44.1,3
 1 Series,2,24490,Manual,7645,Petrol,145,41.5,1.5
 1 Series,2,21990,Manual,7734,Petrol,145,41.5,1.5
 2 Series,2,17990,Semi-Auto,9401,Diesel,145,56.5,1.5
 X2,2,24790,Semi-Auto,10058,Diesel,145,52.3,2
 2 Series,1,34975,Semi-Auto,5,Diesel,145,48.7,2
 3 Series,2,27480,Semi-Auto,3910,Petrol,145,42.2,2
 3 Series,2,25900,Semi-Auto,6930,Petrol,145,42.2,2
 4 Series,2,21970,Automatic,9846,Diesel,145,65.7,2
 3 Series,2,28480,Automatic,6178,Petrol,145,41.5,2
 1 Series,2,19490,Manual,7990,Diesel,145,65.7,2
 3 Series,4,18980,Semi-Auto,26284,Diesel,145,62.8,2
 X2,2,23980,Automatic,6351,Diesel,145,61.4,2
 3 Series,2,26495,Semi-Auto,10922,Petrol,145,41.5,2
 1 Series,6,13440,Semi-Auto,66471,Petrol,145,47.9,1.6
 2 Series,4,19980,Automatic,25154,Petrol,200,39.8,3
 3 Series,2,26480,Semi-Auto,5983,Petrol,145,47.9,2
 X4,2,41980,Automatic,5769,Diesel,145,37.2,3
 3 Series,2,21220,Semi-Auto,19494,Petrol,145,48.7,2
 X6,2,61895,Semi-Auto,1629,Diesel,145,34.9,3
 X2,1,40195,Semi-Auto,103,Petrol,145,34,2
